,M=1,M=2,M=3,M=4,M=5
chemical,$436.37^{***}$,$239.83^{***}$,$130.1^{***}$,$126.4^{***}$,$63.24^{***}$
,799.38,368.03,132.85,7.72,-113.60
electronics,$563.94^{***}$,$186.67^{***}$,$115.82^{***}$,$81.06^{***}$,$47.76^{***}$
,807.93,249.05,67.33,-43.87,-119.80
machine,$434.91^{***}$,$194.48^{***}$,$72.83^{***}$,$56.94^{***}$,$54.77^{***}$
,452.59,22.53,-166.78,-234.43,-285.59
transportation equipment,$361.09^{***}$,$119.88^{***}$,$85.97^{***}$,$82.73^{***}$,$60.74^{***}$
,196.44,-159.88,-274.50,-357.03,-434.36
food,$262.4^{***}$,$146.34^{***}$,$87.04^{***}$,$84.57^{***}$,$72.23^{***}$
,489.82,232.41,91.25,8.76,-69.19
