,M=1,M=2,M=3,M=4,M=5
chemical,$629.22^{***}$,$308.6^{***}$,$181.39^{***}$,$177.38^{***}$,$96.35^{***}$
,1065.29,441.13,137.50,-38.89,-211.15
electronics,$803.15^{***}$,$282.32^{***}$,$167.83^{***}$,$106.43^{***}$,$89.93^{***}$
,1075.39,277.46,0.19,-162.83,-263.53
machine,$620.95^{***}$,$292.52^{***}$,$118.37^{***}$,$102.57^{***}$,$75.32^{***}$
,602.97,-13.17,-300.54,-413.85,-510.84
transportation equipment,$524.17^{***}$,$164.99^{***}$,$130.53^{***}$,$97.59^{***}$,$96.56^{***}$
,259.46,-259.86,-420.12,-547.00,-638.88
food,$383.42^{***}$,$207.34^{***}$,$126.48^{***}$,$116.36^{***}$,$92.76^{***}$
,643.70,265.36,63.34,-57.52,-167.70
